"#","ML #","Address","Condo Fee Includes","St","Original List Price","List Price","Current Price","Condo Fee","RMS Total","Beds","Full Baths","Style","Rooms Above Grade","Half Baths","Ensuite YN","Year Built","# FP","DOM","Stat Date","City"
"501","A2055740","132 Glamis Terrace SW","Insurance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Water","S","$440,000","$440,000.00","$450,000.00","$554.08","1,480","3","2","3 Level Split","6","1","Yes","1982","1","16","08/19/2023","Calgary"
"501","A2081843","8535 19 Avenue SE Unit#424","Insurance, Maintenance Grounds, Reserve Fund Contributions, See Remarks, Snow Removal, Trash","S","$455,000","$449,900.00","$449,900.00","$182.42","1,193","2","1","3 Storey","5","1","No","2023","0","35","10/24/2023","Calgary"
"501","A2079391","92 Rocky Vista Circle NW","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$449,900","$449,900.00","$449,900.00","$387.75","1,227","3","1","2 Storey","7","1","No","2003","1","12","09/23/2023","Calgary"
"501","A2071219","2013 24 Street SW Unit#2","Insurance, Reserve Fund Contributions, Snow Removal","S","$449,900","$449,900.00","$449,900.00","$408.00","1,122","2","2","2 Storey","5","1","No","2000","1","11","08/22/2023","Calgary"
"501","A2060294","186 Kincora Heath NW","Common Area Maintenance, Reserve Fund Contributions, Snow Removal, Trash","S","$449,888","$449,888.00","$449,888.00","$264.73","1,139","3","2","2 Storey","6","1","Yes","2008","1","16","07/14/2023","Calgary"
"501","A2067251","149 23 Avenue NW","Common Area Maintenance, Insurance, Maintenance Grounds, Reserve Fund Contributions","S","$449,900","$449,900.00","$449,700.00","$224.53","1,096","2","2","2 Storey","4","2","Yes","2008","0","14","08/03/2023","Calgary"
"501","A2088519","1931 28 Street SW Unit#5","Common Area Maintenance, Insurance, Parking, Professional Management, Reserve Fund Contributions, Snow Removal","S","$479,900","$459,900.00","$449,000.00","$468.32","1,500","2","2","3 Storey","6","1","Yes","2013","0","55","12/27/2023","Calgary"
"501","A2065102","1412 20 Avenue NW Unit#5","Caretaker, Common Area Maintenance, Insurance, Parking, Reserve Fund Contributions, Snow Removal","S","$450,000","$450,000.00","$449,000.00","$285.79","1,203","3","3","2 Storey","5","1","Yes","2008","1","15","07/26/2023","Calgary"
"501","A2081559","911 Cranford Court SE","Common Area Maintenance, Parking, Professional Management, Reserve Fund Contributions, Sewer, Snow Removal, Trash","S","$474,977","$459,777.00","$448,500.00","$330.00","1,102","3","2","2 Storey","6","1","Yes","2010","0","69","11/27/2023","Calgary"
"501","A2084437","50 Cornerstone Passage NE Unit#406","Common Area Maintenance, Insurance, Professional Management, Reserve Fund Contributions, Snow Removal, Trash","S","$445,000","$445,000.00","$448,000.00","$201.73","1,483","4","2","3 Storey","6","1","Yes","2021","0","11","10/10/2023","Calgary"
